What is this movie's name? (Use exact spelling),What year was this movie released?,How long is this movie?,What is the plot of this movie? (5 sentences),"Had you watched this movie previously, or was this your first time?",What were the characteristics of the protagonist?,What were the characteristics of the antagonist? ,How invested did you feel in the drama?,How much did the main characters change over the course of the story?,To what extent did the characters feel real and complex?,How invested did you feel in the characters?,How many narrators/perspectives were there? (Integer answer),How fast-paced was this movie overall?,How fast-paced was the beginning of the movie?,How fast-paced was the middle of the movie?,How fast-paced was the end of the movie?,Did the movie feature a substantial turning point in the plot?,Did the movie feature a plot twist?,"Was there a noticeable ""sag"" in plot tension at any of the following points of the movie? (please check timestamps to be as accurate as possible about the % in)",What were the qualities of the beginning? Check all that apply,What were the qualities of the ending? Check all that apply,Which of the following describes the movie's climax? Check all that apply,Was the movie plot-driven or character-driven?,How immersive did the world of the movie feel?,How important was the immersiveness of the world for this movie?,Did the world of the movie feel real?,How engaging was the dialogue?,What characteristics apply to this movie's dialogue?,"By the end of the movie, how emotionally affected were you?","By the end of the movie, how intellectually engaged did you feel?",Check all attributes that apply to this movie:,Which of the following would you characterize as among the film's intended artistic objectives?,"Which of the following objectives did the film succeed at? (Only potentially check boxes for those that were checked above, if any)","What were the movie's (up to three) main themes? (one or two word phrases each, separated by semicolons)",How clear and consistent were the themes of this movie?,"What were the movie's (up to three) main tropes? (e.g. ""enemies to lovers""; also separated by semicolons)","How much did you enjoy the movie's score? (that is, the music/sound)",How important was the movie's score to your emotional experience of the narrative?,How much did you enjoy this movie?,How strong was the acting?,How strong was the directing?,How strong was the cinematography?,What's the most important attribute of this movie that this survey missed?,moviename,year,src,title,genres,stars,violencegore_score,alcohol_score,frightening_score,profanity_score,sexnude_score,runtime,runtime_log,budget,budget_log,opening_weekend_box_office,opening_weekend_box_office_log,gross_usa,gross_usa_log,cumulative_worldwide_gross,cumulative_worldwide_gross_log,metascore,number_of_nominations,number_of_wins,rating,release_type,num_reviews_written,review_rating_mean,imdb_rating_updated,user_id
Escanaba In Da Moonlight,2001,1 hour 32 minutes,"Starting with an introduction to the Soady family the movie follows the story of Reuben Soady, a middle-aged man who is trying to shoot his first buck. Convinced he has a curse, Reuben's father and younger brother try to help him finally succeed this hunting season leading to chaos and hilarity. Starting out utilizing the family's history and traditions, Reuben eventually attempts to overcome his curse through the mystical traditions of his Native American wife. As the hunting season progresses the struggles become more intense as aliens begin wreaking havoc on the family’s camp and an unstable state troop drops by joining the group of men as their anxiety peaks. The film concludes with a climactic hunting scene where through the help of the ghost of his great-grandfather Reuben finally shoots a buck and the whole family comes together in celebration.",First time,Plucky;Passive;Incompetent,There was no antagonist,8,3,6,8,2,5,3,6,8,No,No,40% in,Funny,Happy;Satisfying,Funny,Character-driven,7,5,2,9,Quippy,5,1,Funny,Escapism / entertainment;Cultural critique / social commentary,Escapism / entertainment;Cultural critique / social commentary,family; nature; fate,10,wise old man; aliens; narrator; happily ever after,1,3,8,9,6,6,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,13
Escanaba in da Moonlight,2001,"1hour, 31 minutes ; 91 minutes","Reuben is a 43 year old man who is the only one in his family to never have shot a buck whilst hunting, leading his father and brother to believe he is cursed with bad luck. At this years hunting season start, he breaks from tradition by not bringing the customary food for hunting trips, instead supplying everyone with the traditional Native American recipes and performing rituals as instructed by his wife for good fortune on the hunting trip. They quickly begin experiencing the supernatural, even meeting two strange individuals who claim to have seen god and been abducted by aliens, respectively. Reuben and his brother and father also interact with spirits from their family, often commenting on Reuben's inability to catch a buck. The film ends with Reuben being called towards something unknown, where he is finally able to catch a buck with the help of spirit hunters. ",First time,Plucky;Passive;Incompetent,There was no antagonist,3,7,2,3,2,3,2,6,4,No,No,20% in;30% in;40% in;50% in;60% in;70% in,Slow build;Funny,Happy,Funny,Plot-driven,2,2,6,4,Quippy;Occasionally broke the fourth wall,2,1,Funny;Cliché,Escapism / entertainment;Cultural critique / social commentary,Escapism / entertainment;Cultural critique / social commentary,"""hunting culture"" ; ""family"" ; ""superstition""",1,"""black sheep"" ; ""potty humor""",2,2,2,3,4,5,"I think that this movie really wasn't made for me, so my opinions are definitely not representative of a lot of peoples opinions about this movie. Hunting culture is a really big thing up in Michigan so I'm sure to people up there who are personally experienced with this line of work, they would be much more entertained and probably get more out of it.",escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,4
Escanaba in da Moonlight,2001,1 hour 32 minutes,"This movie is about a hunting traditions, where Reuben Soady goes to see his hunting Yoopers family at there cabin called the ""Soady deer camp"" in Escanaba, rural Michigan.  Reuben's father, Albert, is determined to help his son break his unsuccessful hunting season streak and finally shoot a buck as the town has ostracized him. However, things take a bizarre turn when Reuben's brother,  discovers that he may have been cursed by a mysterious creature, the""Spirit of the Buck""  and with the help of ""The Jimmer,"" Ranger Tom, who have both experienced an alien encounter, and the guidance of Reuben's wife, Wolf Moon's spiritual concotions to break the curse. As the night continues, the family's experience in the woods become increasingly absurd and they must plan a way to stop Reuben from becoming the oldest Soapy to not have shot a buck compared to his uncle, which leads to a hilarious and unexpected conclusion. 
",First time,Likeable;Courageous;Ambitious;Caring;Romantic;Funny;Good;Misunderstood,There was no antagonist,7,9,7,8,There is one narrator/perspective,6,5,6,5,Yes,Yes,50% in,Slow build,Happy;Satisfying,Funny;Slow,Character-driven,7,8,7,9,Quippy;Occasionally broke the fourth wall;Stylized,7,6,Funny;Innovative,Escapism / entertainment;Exploring a strange new world,Escapism / entertainment,"Tradition; Masculinity, and Family ",10,Satire; fish out of water; demonic possesion.,7,7,9,8,8,8,"comedic commentary on masculinity and traditional gender roles and the local dialect and culture discussed in the movie, which is often not talked about in today's media",escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,10
Escanaba in Da Moonlight,2001,1h31m,"This movie focuses on the culture of hunting and depicts it in a comedic manner. It follows the story of a man, Ruben Soady, whose notorious and constantly made fun of for being ""buckless"" in his town. As hunting season approaches, Ruben and the men in his family try different approaches to manifest a successful a hunt. However, there are different obstacles (like extraterrestrial creatures) that interfere this process.",First time,Likeable;Courageous;Ambitious;Funny;Incompetent;Smart,There was no antagonist,6,7,6,5,Third POV (omniscient) ,6,5,6,7,No,No,20% in;30% in;60% in,Slow build;Funny,Happy;Satisfying,Funny,Plot-driven,6,8,4,7,Quippy,3,2,Funny;Cliché;Action-packed,Escapism / entertainment;Exploring a strange new world,Escapism / entertainment;Exploring a strange new world,Family; perseverance; breaking traditions,8,Wise old man; the antihero; the chosen one,5,4,5,8,8,7,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,21
Escanaba in da Moonlight,2001,"1 hour, 32 minutes","Narrated by Albert Soady, father to Reuben and Remnar, this movie tells the tale of Reuben seeking to break his curse of never haven shot a buck during hunting season. On their annual hunting trip, Reuben is determined to break the curse this time around, and the group is joined by Jimmy, a fellow Michigan hunter. Their trip goes awry as things start to go wrong, like their cards switching faces and a local ranger coming into their cabin making wild claims about having seen God. The group gets possessed by mysterious spirits and fear starts to rise, and Reuben gets desperate to break his curse and runs into the woods. In the end, he successfully shoots his own buck, bringing pride (and food) to his family. ",First time,Ambitious;Funny;Good,There was no antagonist,2,2,2,1,1,2,2,1,2,No,No,30% in;40% in;50% in,Funny,Happy;Satisfying,Funny;Frightening,Plot-driven,3,5,4,2,Quippy,1,1,Funny;Cliché,Escapism / entertainment,,Family; tradition; pride,5,Father and son(s) ,1,1,1,2,1,3,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,31
Escanaba In Da Moonlight,2001,1 hour 32 minutes ,"Reuben whole family are hunters yet he has never hunted a buck. So he goes on a hunting trip with his dad and brother, where he has until the end of season to shoot a buck. If he can't then that means he is jinxed because this has never happened to anyone in his family. He asks his Native American wife for advise, who give him a mixture that will protect him from evil spirits. Thus, the movie deals with wether he will kill a buck or not. ",First time,Caring;Funny;Incompetent,,4,7,6,4,1,7,8,7,8,No,No,,Funny,Happy;Satisfying,No noticeable climax,Character-driven,3,5,5,4,Stylized,4,4,Funny,Escapism / entertainment,Escapism / entertainment,stay true to yourself; be different ,7,father-son not seeing eye to eye relationship: son that wants to make father happy ,3,2,1,3,4,4,What genre these movies fall under,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,29
Escanaba In Da Moonlight,2001,1hr 32mins ,"Rueben Soady goes to a hunting camp with his father (Albert), his brother (Remnar), and Jimmy. Rueben is 43 and still has not shoot a buck, and if he doesn't this season, he will be the oldest Soady in the history to not have shot a buck. This will not only cause some people to think that he is jinxed, but he will most definitely become the laughing stock of the family. Rueben takes advice from his Native American wife, Wolf Moon Dance, which include spiritual remedies and different methods of attracting his prey. He also meets a ranger named Tom who claims to have seen god, meanwhile  Reuben, Tom, and Jimmy all get possessed by spirits throughout the movie. ",First time,Likeable;Funny,There was no antagonist,4,4,3,3,3,4,2,4,3,No,No,10% in;20% in;50% in;60% in;70% in,Slow build,Satisfying,Funny;Slow;No noticeable climax,Character-driven,6,7,4,3,Quippy,4,3,,Escapism / entertainment;Philosophical exploration,Escapism / entertainment;Philosophical exploration,tradition; culture,5,seeking approval; spirituality ,5,6,2,4,4,5,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,26
Escanaba In Da Moonlight ,2001,1 hr 32 min,"The film follows the Soady family, who are avid deer hunters living in Michigan's Upper Peninsula. The patriarch of the family, Albert, is struggling to overcome a decades-long losing streak and finally bag a buck. As he prepares for his latest hunt, he is joined by his eccentric family members, including his brother, son, and father. Along the way, they encounter various obstacles and oddities, including UFO sightings, ghostly visions, and magical potions. In the end, Albert may finally have his chance to prove himself as a hunter and break the family curse.",First time,Likeable;Plucky;Caring;Funny;Incompetent;Good,There was no antagonist,4,4,4,3,1,3,5,4,2,No,No,50% in,Slow build,Happy;Satisfying,Epiphany;Death;Slow,Plot-driven,4,4,3,1,Realistic,1,1,Funny;Suspenseful;Thought-provoking,Cultural critique / social commentary;Philosophical exploration;Innovation,Escapism / entertainment;Cultural critique / social commentary;Philosophical exploration;Innovation,Family and tradition; Identity and self-discovery; Humor and absurdity,6,Fish out of water; Dysfunctional family; Midlife crisis,5,4,3,3,3,2,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,32
Escanaba in Da Moonlight,2001,1h 32m,"Reuben Soady is a Michigan man part of a deer hunting camp ground. He is a 43-year old man who is soon to be the older person to have never shot a buck beating his great-grandfather. In fear of being thought as unlucky, Daniels takes a trip to kill a buck in which he gets spiritual remedies from a Native American to steer away from bad sprits. Thought the film funny events. Reuben slowly but surely achieves his goal.. ",First time,Likeable;Funny,There was no antagonist,6,8,6,8,1,6,7,4,8,No,No,,Strong hook;Funny,Happy,,Character-driven,10,9,8,9,Quippy;Realistic;Stylized,9,8,Funny,Escapism / entertainment,Escapism / entertainment,Perseverence;Tradition;Family,9,Indigenious wise person; Midwest banter; superstition,9,9,8,9,9,9,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,7
Escanaba in da Moonlight,2001,1h 32m,"This movie is a comedy about a family's hunting trip in Michigan. Reuben Soady, the main character in the movie, believes he is cursed, as he is the only member in his family that has never shot a buck. HIs family helps him attempt to break the curse with strange rituals of dancing and singing, but as the night progresses weird things begin to occur. In the end, Reuben breaks the curse and finally shoots a buck. ",First time,Likeable;Plucky;Funny;Lone,There was no antagonist,7,8,9,7,0 ,5,4,6,7,Yes,Yes,There was no notable sag in the plot ,Slow build;Funny,Happy;Satisfying,Epiphany;Slow,Character-driven,7,9,7,8,Quippy;Stylized,6,7,Funny;Suspenseful;Thought-provoking,Escapism / entertainment;Cultural critique / social commentary;Philosophical exploration,Escapism / entertainment;Cultural critique / social commentary;Philosophical exploration,Family; Identity; Tradition,10,Dysfunctional family/community; Family,8,9,5,6,6,8,,escanaba.in.da.moonlight,2001,http://www.imdb.com/title/tt0180679/?ref_=adv_li_tt,Escanaba in da Moonlight,"['Comedy', 'Fantasy']","Jeff Daniels, Harve Presnell, Joey Albright",,,,,,91.0,4.51085950651685,1000000.0,13.8155115579638,,,,,,,,0.0,0.0,PG-13,,106,7.945945945945951,6.2,17
